ciao,hi
buongiorno,good morning
buonasera,good evening
notte,night
grazie,thank you
prego,you’re welcome
per favore,please
scusa,sorry
si,yes
no,no
amico,friend
amore,love
felice,happy
triste,sad
bello,beautiful
brutto,ugly
buono,good
cattivo,bad
facile,easy
difficile,difficult
veloce,fast
lento,slow
giovane,young
vecchio,old
nuovo,new
vecchio,old
grande,big
piccolo,small
alto,tall
basso,short
caldo,hot
freddo,cold
ricco,rich
povero,poor
faccia,face
mano,hand
piede,foot
testa,head
capelli,hair
occhio,eye
bocca,mouth
naso,nose
orecchio,ear
dente,tooth
lingua,tongue
cuore,heart
polmone,lung
stomaco,stomach
braccio,arm
gamba,leg
dito,finger
gomito,elbow
ginocchio,knee
spalla,shoulder
petto,chest
schiena,back
addome,abdomen
fianco,hip
gola,throat
viso,face
fronte,forehead
mento,chin
guancia,cheek
sopracciglio,eyebrow
ciglia,eyelash
labbro,lip
pancia,belly
ombelico,navel
costola,rib
collo,neck
pugno,fist
palmo,palm
polso,wrist
muso,snout
zampa,paw
pelo,fur
penna,feather
zoccolo,hoof
corna,horn
pinne,fin
branchia,gill
artiglio,claw
piuma,quill
becco,beak
zanna,tusk
ala,wing
bocca,mouth
spina,spine
branchie,gills
antenna,antenna
zampa,leg
corpo,body
ala,wing
squilla,shell
carapace,carapace
tentacolo,tentacle
